period,stateid,stateDescription,price,growth_rate (%)
2023,AR,Arkansas,12.25,1.6597510373443924
2024,AR,Arkansas,12.32,0.5714285714285783
2025,AR,Arkansas,12.84,4.220779220779214
2010,AZ,Arizona,10.97,
2011,AZ,Arizona,11.08,1.0027347310847645
2012,AZ,Arizona,11.29,1.8953068592057587
2013,AZ,Arizona,11.71,3.720106288751124
2014,AZ,Arizona,11.9,1.6225448334756587
2015,AZ,Arizona,12.13,1.9327731092436906
2016,AZ,Arizona,12.15,0.16488046166529546
2017,AZ,Arizona,12.44,2.386831275720147
2018,AZ,Arizona,12.77,2.6527331189710512
2019,AZ,Arizona,12.43,-2.662490211433044
2020,AZ,Arizona,12.27,-1.2872083668543866
2021,AZ,Arizona,12.54,2.2004889975550057
2022,AZ,Arizona,13.02,3.8277511961722466
2023,AZ,Arizona,14.02,7.68049155145929
2024,AZ,Arizona,14.91,6.348074179743235
2025,AZ,Arizona,15.32,2.749832327297108
2010,CA,California,14.75,
2011,CA,California,14.78,0.20338983050847137
2012,CA,California,15.34,3.7889039242219313
2013,CA,California,16.23,5.801825293350715
2014,CA,California,16.25,0.12322858903264233
2015,CA,California,16.99,4.553846153846153
2016,CA,California,17.39,2.3543260741612837
2017,CA,California,18.31,5.290396779758466
2018,CA,California,18.84,2.894593118514477
2019,CA,California,19.15,1.6454352441613418
2020,CA,California,20.45,6.78851174934727
2021,CA,California,22.82,11.589242053789729
2022,CA,California,25.84,13.234005258545123
2023,CA,California,29.51,14.202786377708975
2024,CA,California,31.97,8.336157234835628
2025,CA,California,32.54,1.78292148889585
2010,CO,Colorado,11.04,
2011,CO,Colorado,11.27,2.083333333333348
2012,CO,Colorado,11.46,1.685891748003554
2013,CO,Colorado,11.93,4.10122164048865
2014,CO,Colorado,12.18,2.095557418273253
2015,CO,Colorado,12.12,-0.49261083743842304
2016,CO,Colorado,12.07,-0.4125412541254092
2017,CO,Colorado,12.17,0.8285004142501995
2018,CO,Colorado,12.15,-0.16433853738700988
2019,CO,Colorado,12.18,0.24691358024691024
2020,CO,Colorado,12.36,1.477832512315258
2021,CO,Colorado,13.07,5.744336569579289
2022,CO,Colorado,14.19,8.56924254016831
2023,CO,Colorado,14.3,0.7751937984496138
2024,CO,Colorado,14.92,4.335664335664324
2025,CO,Colorado,15.85,6.233243967828406
2010,CT,Connecticut,19.25,
2011,CT,Connecticut,18.11,-5.9220779220779285
2012,CT,Connecticut,17.34,-4.251794588625069
2013,CT,Connecticut,17.55,1.211072664359869
2014,CT,Connecticut,19.75,12.535612535612529
2015,CT,Connecticut,20.94,6.025316455696217
2016,CT,Connecticut,20.01,-4.441260744985676
2017,CT,Connecticut,20.29,1.3993003498250722
2018,CT,Connecticut,21.2,4.484967964514541
2019,CT,Connecticut,21.87,3.1603773584905737
2020,CT,Connecticut,22.71,3.840877914951979
2021,CT,Connecticut,21.91,-3.5226772346983792
2022,CT,Connecticut,24.61,12.323140118667265
2023,CT,Connecticut,29.88,21.414059325477442
2024,CT,Connecticut,28.75,-3.7817938420347974
2025,CT,Connecticut,29.38,2.191304347826084
2010,DC,District of Columbia,14.01,
2011,DC,District of Columbia,13.4,-4.354032833690214
2012,DC,District of Columbia,12.28,-8.358208955223889
2013,DC,District of Columbia,12.57,2.3615635179153216
2014,DC,District of Columbia,12.74,1.352426412092278
2015,DC,District of Columbia,12.99,1.9623233908948157
2016,DC,District of Columbia,12.29,-5.3887605850654445
2017,DC,District of Columbia,12.94,5.288852725793336
2018,DC,District of Columbia,12.84,-0.7727975270479082
2019,DC,District of Columbia,12.98,1.0903426791277315
2020,DC,District of Columbia,12.63,-2.6964560862865916
2021,DC,District of Columbia,13.09,3.6421219319081377
2022,DC,District of Columbia,14.18,8.326967150496568
2023,DC,District of Columbia,16.45,16.008462623413244
2024,DC,District of Columbia,17.71,7.659574468085117
2025,DC,District of Columbia,21.94,23.88481084133258
2010,DE,Delaware,13.8,
2011,DE,Delaware,13.7,-0.7246376811594346
2012,DE,Delaware,13.58,-0.8759124087591164
2013,DE,Delaware,12.95,-4.6391752577319645
2014,DE,Delaware,13.29,2.6254826254826336
2015,DE,Delaware,13.42,0.9781790820165615
2016,DE,Delaware,13.42,0.0
2017,DE,Delaware,13.35,-0.5216095380029873
2018,DE,Delaware,12.53,-6.142322097378283
2019,DE,Delaware,12.55,0.15961691939345712
2020,DE,Delaware,12.56,0.07968127490038945
2021,DE,Delaware,12.52,-0.31847133757962887
2022,DE,Delaware,13.71,9.504792332268375
2023,DE,Delaware,15.73,14.733770970094827
2024,DE,Delaware,16.57,5.340114431023513
2025,DE,Delaware,17.13,3.3796016898008263
2010,FL,Florida,11.44,
2011,FL,Florida,11.51,0.6118881118881037
2012,FL,Florida,11.42,-0.7819287576020795
2013,FL,Florida,11.27,-1.3134851138353776
2014,FL,Florida,11.89,5.501330967169493
2015,FL,Florida,11.58,-2.607232968881412
2016,FL,Florida,10.98,-5.181347150259064
2017,FL,Florida,11.61,5.737704918032782
2018,FL,Florida,11.54,-0.6029285099052539
2019,FL,Florida,11.7,1.3864818024263537
2020,FL,Florida,11.27,-3.6752136752136733
2021,FL,Florida,11.9,5.590062111801242
2022,FL,Florida,13.9,16.806722689075638
2023,FL,Florida,15.21,9.42446043165468
2024,FL,Florida,14.14,-7.034845496383957
2025,FL,Florida,15.24,7.77934936350777
2010,GA,Georgia,10.07,
2011,GA,Georgia,11.05,9.731876861966239
2012,GA,Georgia,11.17,1.0859728506787292
2013,GA,Georgia,11.46,2.5962399283796067
2014,GA,Georgia,11.65,1.6579406631762605
2015,GA,Georgia,11.54,-0.9442060085837034
2016,GA,Georgia,11.5,-0.34662045060658286
2017,GA,Georgia,11.9,3.4782608695652195
2018,GA,Georgia,11.47,-3.6134453781512588
2019,GA,Georgia,11.76,2.528334786399289
2020,GA,Georgia,12.02,2.2108843537415046
2021,GA,Georgia,12.51,4.0765391014975005
2022,GA,Georgia,13.8,10.311750599520387
2023,GA,Georgia,13.69,-0.7971014492753725
2024,GA,Georgia,14.08,2.8487947406866443
2025,GA,Georgia,14.73,4.616477272727271
2010,HI,Hawaii,28.1,
2011,HI,Hawaii,34.68,23.416370106761562
2012,HI,Hawaii,37.34,7.670126874279126
2013,HI,Hawaii,36.98,-0.9641135511516019
2014,HI,Hawaii,37.04,0.16224986479178582
2015,HI,Hawaii,29.6,-20.08639308855291
2016,HI,Hawaii,27.47,-7.195945945945958
2017,HI,Hawaii,29.5,7.389879868947946
2018,HI,Hawaii,32.47,10.067796610169477
2019,HI,Hawaii,32.06,-1.262704034493367
2020,HI,Hawaii,30.28,-5.552089831565821
2021,HI,Hawaii,33.49,10.601056803170405
2022,HI,Hawaii,43.03,28.48611525828606
2023,HI,Hawaii,42.39,-1.4873344178480186
2024,HI,Hawaii,42.86,1.1087520641660742
2025,HI,Hawaii,40.59,-5.296313579094713
2010,IA,Iowa,10.42,
2011,IA,Iowa,10.46,0.38387715930903177
2012,IA,Iowa,10.82,3.441682600382401
2013,IA,Iowa,11.04,2.0332717190387983
2014,IA,Iowa,11.16,1.0869565217391353
2015,IA,Iowa,11.63,4.211469534050183
2016,IA,Iowa,11.94,2.665520206362837
2017,IA,Iowa,12.34,3.350083752093802
2018,IA,Iowa,12.24,-0.8103727714748765
2019,IA,Iowa,12.46,1.7973856209150485
2020,IA,Iowa,12.46,0.0
2021,IA,Iowa,12.73,2.1669341894061
2022,IA,Iowa,13.15,3.299293008641002
2023,IA,Iowa,13.31,1.2167300380228063
2024,IA,Iowa,13.4,0.6761833208114298
2025,IA,Iowa,13.72,2.3880597014925398
2010,ID,Idaho,7.99,
2011,ID,Idaho,7.87,-1.5018773466833557
2012,ID,Idaho,8.67,10.16518424396442
2013,ID,Idaho,9.32,7.497116493656297
2014,ID,Idaho,9.72,4.29184549356223
2015,ID,Idaho,9.93,2.160493827160481
2016,ID,Idaho,9.95,0.20140986908359082
2017,ID,Idaho,10.04,0.9045226130653283
2018,ID,Idaho,10.15,1.0956175298804993
2019,ID,Idaho,9.89,-2.5615763546797954
2020,ID,Idaho,9.95,0.6066734074822833
2021,ID,Idaho,10.16,2.110552763819107
2022,ID,Idaho,10.37,2.066929133858264
2023,ID,Idaho,11.05,6.557377049180335
2024,ID,Idaho,11.52,4.253393665158356
2025,ID,Idaho,11.82,2.604166666666674
2010,IL,Illinois,11.52,
2011,IL,Illinois,11.78,2.256944444444442
2012,IL,Illinois,11.37,-3.4804753820034007
2013,IL,Illinois,10.63,-6.50835532102022
2014,IL,Illinois,11.91,12.041392285983065
2015,IL,Illinois,12.5,4.953820319059621
2016,IL,Illinois,12.54,0.31999999999998696
2017,IL,Illinois,12.95,3.2695374800638
2018,IL,Illinois,12.77,-1.3899613899613916
2019,IL,Illinois,13.03,2.036021926389986
2020,IL,Illinois,13.04,0.07674597083653367
2021,IL,Illinois,13.18,1.0736196319018454
2022,IL,Illinois,15.65,18.74051593323218
2023,IL,Illinois,15.71,0.383386581469658
2024,IL,Illinois,15.87,1.0184595798854224
2025,IL,Illinois,17.69,11.468178954001274
2010,IN,Indiana,9.56,
2011,IN,Indiana,10.06,5.230125523012541
2012,IN,Indiana,10.53,4.671968190854869
2013,IN,Indiana,10.99,4.368471035137711
2014,IN,Indiana,11.46,4.276615104640591
2015,IN,Indiana,11.57,0.9598603839441555
2016,IN,Indiana,11.79,1.9014693171996555
2017,IN,Indiana,12.29,4.240882103477528
2018,IN,Indiana,12.26,-0.24410089503661414
2019,IN,Indiana,12.58,2.610114192495927
2020,IN,Indiana,12.83,1.9872813990461147
2021,IN,Indiana,13.37,4.208885424785658
2022,IN,Indiana,14.59,9.124906507105468
2023,IN,Indiana,14.94,2.39890335846471
2024,IN,Indiana,14.77,-1.137884872824635
2025,IN,Indiana,16.23,9.88490182802979
2010,KS,Kansas,10.03,
2011,KS,Kansas,10.65,6.181455633100708
2012,KS,Kansas,11.24,5.539906103286385
2013,KS,Kansas,11.64,3.558718861209975
2014,KS,Kansas,12.17,4.55326460481098
2015,KS,Kansas,12.34,1.396877567789656
2016,KS,Kansas,13.06,5.834683954619124
2017,KS,Kansas,13.31,1.9142419601837712
2018,KS,Kansas,13.35,0.3005259203606281
2019,KS,Kansas,12.71,-4.794007490636698
2020,KS,Kansas,12.85,1.1014948859165985
2021,KS,Kansas,12.98,1.0116731517509692
2022,KS,Kansas,13.99,7.781201848998465
2023,KS,Kansas,13.38,-4.360257326661898
2024,KS,Kansas,14.15,5.754857997010454
2025,KS,Kansas,14.56,2.8975265017667784
2010,KY,Kentucky,8.57,
2011,KY,Kentucky,9.2,7.351225204200684
2012,KY,Kentucky,9.43,2.5000000000000133
2013,KY,Kentucky,9.79,3.8176033934252285
2014,KY,Kentucky,10.16,3.7793667007150367
2015,KY,Kentucky,10.24,0.7874015748031482
2016,KY,Kentucky,10.49,2.44140625
2017,KY,Kentucky,10.85,3.431839847473772
2018,KY,Kentucky,10.6,-2.304147465437789
2019,KY,Kentucky,10.8,1.8867924528301883
2020,KY,Kentucky,10.87,0.648148148148131
2021,KY,Kentucky,11.5,5.79576816927323
2022,KY,Kentucky,12.91,12.26086956521739
2023,KY,Kentucky,12.65,-2.0139426800929505
2024,KY,Kentucky,12.79,1.1067193675889264
2025,KY,Kentucky,13.24,3.5183737294761652
2010,LA,Louisiana,8.98,
2011,LA,Louisiana,8.96,-0.22271714922048602
2012,LA,Louisiana,8.37,-6.584821428571441
2013,LA,Louisiana,9.43,12.664277180406213
2014,LA,Louisiana,9.57,1.4846235418876086
2015,LA,Louisiana,9.33,-2.5078369905956133
2016,LA,Louisiana,9.34,0.1071811361200492
2017,LA,Louisiana,9.74,4.282655246252687
2018,LA,Louisiana,9.59,-1.5400410677618104
2019,LA,Louisiana,9.8,2.1897810218978186
2020,LA,Louisiana,9.67,-1.3265306122449028
2021,LA,Louisiana,11.02,13.960703205791102
2022,LA,Louisiana,12.93,17.33212341197823
2023,LA,Louisiana,11.55,-10.67285382830626
2024,LA,Louisiana,11.73,1.558441558441559
2025,LA,Louisiana,12.57,7.161125319693085
2010,MA,Massachusetts,14.59,
2011,MA,Massachusetts,14.67,0.5483207676490798
2012,MA,Massachusetts,14.91,1.6359918200409052
2013,MA,Massachusetts,15.83,6.170355466130117
2014,MA,Massachusetts,17.39,9.854706253948198
2015,MA,Massachusetts,19.83,14.031052328924654
2016,MA,Massachusetts,19.0,-4.185577407967722
2017,MA,Massachusetts,20.06,5.578947368421039
2018,MA,Massachusetts,21.61,7.7268195413758844
2019,MA,Massachusetts,21.92,1.4345210550671172
2020,MA,Massachusetts,21.97,0.22810218978099872
2021,MA,Massachusetts,22.89,4.187528447883482
2022,MA,Massachusetts,25.97,13.455657492354733
2023,MA,Massachusetts,29.61,14.016172506738545
2024,MA,Massachusetts,29.35,-0.8780817291455523
2025,MA,Massachusetts,30.48,3.8500851788756396
2010,MD,Maryland,14.32,
2011,MD,Maryland,13.31,-7.05307262569832
2012,MD,Maryland,12.84,-3.531179564237419
2013,MD,Maryland,13.25,3.1931464174454804
2014,MD,Maryland,13.63,2.8679245283018906
2015,MD,Maryland,13.82,1.3939838591342513
2016,MD,Maryland,14.23,2.966714905933432
2017,MD,Maryland,13.96,-1.8973998594518537
2018,MD,Maryland,13.3,-4.727793696275073
2019,MD,Maryland,13.12,-1.3533834586466287
2020,MD,Maryland,13.01,-0.8384146341463339
2021,MD,Maryland,13.12,0.8455034588777721
2022,MD,Maryland,14.46,10.213414634146357
2023,MD,Maryland,16.6,14.799446749654233
2024,MD,Maryland,17.86,7.5903614457831114
2025,MD,Maryland,19.48,9.070548712206051
2010,ME,Maine,15.72,
2011,ME,Maine,15.38,-2.1628498727735312
2012,ME,Maine,14.66,-4.681404421326407
2013,ME,Maine,14.35,-2.114597544338337
2014,ME,Maine,15.27,6.411149825783968
2015,ME,Maine,15.61,2.226588081204972
2016,ME,Maine,15.83,1.4093529788597126
2017,ME,Maine,15.97,0.8843967150979237
2018,ME,Maine,16.84,5.447714464621156
2019,ME,Maine,17.89,6.2351543942992915
2020,ME,Maine,16.81,-6.036892118501969
2021,ME,Maine,17.02,1.2492563950029734
2022,ME,Maine,22.44,31.84488836662751
2023,ME,Maine,27.42,22.192513368983956
2024,ME,Maine,24.29,-11.415025528811096
2025,ME,Maine,27.78,14.368052696582968
2010,MI,Michigan,12.46,
2011,MI,Michigan,13.27,6.500802568218278
2012,MI,Michigan,14.13,6.480783722682748
2013,MI,Michigan,14.59,3.255484784147189
2014,MI,Michigan,14.46,-0.8910212474297352
2015,MI,Michigan,14.42,-0.2766251728907432
2016,MI,Michigan,15.22,5.54785020804438
2017,MI,Michigan,15.4,1.182654402102501
2018,MI,Michigan,15.45,0.32467532467532756
2019,MI,Michigan,15.74,1.8770226537216939
2020,MI,Michigan,16.26,3.303684879288449
2021,MI,Michigan,17.54,7.87207872078719
2022,MI,Michigan,17.86,1.8244013683010207
2023,MI,Michigan,18.84,5.487122060470329
2024,MI,Michigan,19.3,2.441613588110414
2025,MI,Michigan,20.01,3.678756476683942
2010,MN,Minnesota,10.59,
2011,MN,Minnesota,10.96,3.4938621340887765
2012,MN,Minnesota,11.35,3.558394160583922
2013,MN,Minnesota,11.81,4.052863436123366
2014,MN,Minnesota,12.01,1.6934801016087908
2015,MN,Minnesota,12.12,0.915903413821817
2016,MN,Minnesota,12.67,4.537953795379535
2017,MN,Minnesota,13.04,2.920284135753737
2018,MN,Minnesota,13.14,0.7668711656441785
2019,MN,Minnesota,13.04,-0.7610350076103556
2020,MN,Minnesota,13.17,0.9969325153374342
2021,MN,Minnesota,13.5,2.505694760820054
2022,MN,Minnesota,14.25,5.555555555555558
2023,MN,Minnesota,14.73,3.368421052631576
2024,MN,Minnesota,15.45,4.887983706720966
2025,MN,Minnesota,15.82,2.3948220064724968
2010,MO,Missouri,9.08,
2011,MO,Missouri,9.75,7.378854625550657
2012,MO,Missouri,10.17,4.307692307692301
2013,MO,Missouri,10.6,4.228121927236961
2014,MO,Missouri,10.64,0.37735849056603765
2015,MO,Missouri,11.21,5.35714285714286
2016,MO,Missouri,11.21,0.0
2017,MO,Missouri,11.63,3.746654772524538
2018,MO,Missouri,11.34,-2.493551160791063
2019,MO,Missouri,11.14,-1.7636684303350858
2020,MO,Missouri,11.22,0.7181328545780907
2021,MO,Missouri,11.41,1.6934046345810971
2022,MO,Missouri,11.74,2.892199824715158
2023,MO,Missouri,12.58,7.155025553662697
2024,MO,Missouri,12.91,2.6232114467408696
2025,MO,Missouri,13.49,4.4926413632842666
2010,MS,Mississippi,9.87,
2011,MS,Mississippi,10.17,3.0395136778115672
2012,MS,Mississippi,10.26,0.8849557522123908
2013,MS,Mississippi,10.78,5.068226120857688
2014,MS,Mississippi,11.32,5.009276437847876
2015,MS,Mississippi,11.27,-0.4416961130742081
2016,MS,Mississippi,10.47,-7.098491570541254
2017,MS,Mississippi,11.08,5.8261700095511015
2018,MS,Mississippi,11.12,0.3610108303248927
2019,MS,Mississippi,11.27,1.3489208633093552
2020,MS,Mississippi,11.17,-0.8873114463176512
2021,MS,Mississippi,11.56,3.4914950760966956
2022,MS,Mississippi,12.41,7.352941176470584
2023,MS,Mississippi,13.23,6.607574536663985
2024,MS,Mississippi,13.39,1.2093726379440728
2025,MS,Mississippi,14.03,4.7796863330843875
2010,MT,Montana,9.16,
2011,MT,Montana,9.75,6.4410480349345045
2012,MT,Montana,10.08,3.384615384615386
2013,MT,Montana,10.33,2.4801587301587213
2014,MT,Montana,10.18,-1.4520813165537327
2015,MT,Montana,10.88,6.876227897838905
2016,MT,Montana,10.94,0.5514705882352811
2017,MT,Montana,10.95,0.0914076782449813
2018,MT,Montana,10.96,0.09132420091324533
2019,MT,Montana,11.13,1.5510948905109512
2020,MT,Montana,11.24,0.9883198562443685
2021,MT,Montana,11.22,-0.1779359430604921
2022,MT,Montana,11.33,0.9803921568627416
2023,MT,Montana,12.54,10.679611650485432
2024,MT,Montana,12.66,0.9569377990430672
2025,MT,Montana,12.98,2.5276461295418606
2010,NC,North Carolina,10.12,
2011,NC,North Carolina,10.26,1.3833992094861802
2012,NC,North Carolina,10.91,6.335282651072127
2013,NC,North Carolina,10.97,0.5499541704858002
2014,NC,North Carolina,11.1,1.185050136736554
2015,NC,North Carolina,11.28,1.6216216216216273
2016,NC,North Carolina,11.03,-2.2163120567375905
2017,NC,North Carolina,10.94,-0.8159564823209453
2018,NC,North Carolina,11.09,1.3711151736745864
2019,NC,North Carolina,11.42,2.975653742110018
2020,NC,North Carolina,11.38,-0.3502626970227629
2021,NC,North Carolina,11.32,-0.5272407732864748
2022,NC,North Carolina,11.62,2.6501766784452263
2023,NC,North Carolina,12.93,11.273666092943202
2024,NC,North Carolina,14.13,9.280742459396762
2025,NC,North Carolina,14.02,-0.7784854918612916
2010,ND,North Dakota,8.13,
2011,ND,North Dakota,8.58,5.535055350553497
2012,ND,North Dakota,9.06,5.594405594405605
2013,ND,North Dakota,9.12,0.6622516556291203
2014,ND,North Dakota,9.15,0.328947368421062
2015,ND,North Dakota,9.62,5.136612021857911
2016,ND,North Dakota,10.16,5.613305613305619
2017,ND,North Dakota,10.29,1.2795275590551158
2018,ND,North Dakota,10.25,-0.38872691933915515
2019,ND,North Dakota,10.3,0.4878048780487809
2020,ND,North Dakota,10.44,1.3592233009708687
2021,ND,North Dakota,10.85,3.9272030651340994
2022,ND,North Dakota,10.92,0.6451612903225934
2023,ND,North Dakota,11.01,0.8241758241758212
2024,ND,North Dakota,11.51,4.541326067211626
2025,ND,North Dakota,11.81,2.6064291920069538
2010,NE,Nebraska,8.94,
2011,NE,Nebraska,9.32,4.250559284116351
2012,NE,Nebraska,10.04,7.725321888411996
2013,NE,Nebraska,10.31,2.689243027888466
2014,NE,Nebraska,10.4,0.8729388942773975
2015,NE,Nebraska,10.6,1.9230769230769162
2016,NE,Nebraska,10.84,2.264150943396226
2017,NE,Nebraska,10.97,1.1992619926199266
2018,NE,Nebraska,10.7,-2.461257976299014
2019,NE,Nebraska,10.77,0.6542056074766434
2020,NE,Nebraska,10.8,0.2785515320334442
2021,NE,Nebraska,10.75,-0.462962962962965
2022,NE,Nebraska,10.79,0.37209302325580396
2023,NE,Nebraska,11.2,3.7998146431881485
2024,NE,Nebraska,11.53,2.946428571428572
2025,NE,Nebraska,12.34,7.0251517779705175
2010,NH,New Hampshire,16.32,
2011,NH,New Hampshire,16.52,1.225490196078427
2012,NH,New Hampshire,16.07,-2.723970944309928
2013,NH,New Hampshire,16.33,1.6179215930304691
2014,NH,New Hampshire,17.53,7.348438456827933
2015,NH,New Hampshire,18.5,5.53337136337706
2016,NH,New Hampshire,18.38,-0.6486486486486531
2017,NH,New Hampshire,19.2,4.461371055495111
2018,NH,New Hampshire,19.69,2.5520833333333437
2019,NH,New Hampshire,20.05,1.8283392585068503
2020,NH,New Hampshire,19.04,-5.03740648379053
2021,NH,New Hampshire,19.85,4.254201680672276
2022,NH,New Hampshire,25.46,28.261964735516365
2023,NH,New Hampshire,28.15,10.565593087195602
2024,NH,New Hampshire,23.4,-16.87388987566607
2025,NH,New Hampshire,24.56,4.957264957264962
2010,NJ,New Jersey,16.57,
2011,NJ,New Jersey,16.23,-2.051901025950509
2012,NJ,New Jersey,15.78,-2.7726432532347522
2013,NJ,New Jersey,15.73,-0.3168567807350975
2014,NJ,New Jersey,15.78,0.31786395422759295
2015,NJ,New Jersey,15.81,0.19011406844107182
2016,NJ,New Jersey,15.72,-0.5692599620493399
2017,NJ,New Jersey,15.65,-0.4452926208651453
2018,NJ,New Jersey,15.41,-1.5335463258785986
2019,NJ,New Jersey,15.85,2.8552887735236787
2020,NJ,New Jersey,16.03,1.1356466876971671
2021,NJ,New Jersey,16.35,1.9962570180910744
2022,NJ,New Jersey,16.74,2.3853211009174036
2023,NJ,New Jersey,17.7,5.7347670250896154
2024,NJ,New Jersey,19.34,9.265536723163837
2025,NJ,New Jersey,22.63,17.01137538779731
2010,NM,New Mexico,10.52,
2011,NM,New Mexico,11.0,4.562737642585546
2012,NM,New Mexico,11.37,3.3636363636363464
2013,NM,New Mexico,11.68,2.726473175021993
2014,NM,New Mexico,12.28,5.13698630136985
2015,NM,New Mexico,12.47,1.547231270358318
2016,NM,New Mexico,12.03,-3.5284683239775516
2017,NM,New Mexico,12.88,7.065669160432275
2018,NM,New Mexico,12.68,-1.552795031055909
2019,NM,New Mexico,12.51,-1.340694006309151
2020,NM,New Mexico,12.94,3.437250199840136
2021,NM,New Mexico,13.52,4.482225656877903
2022,NM,New Mexico,13.84,2.366863905325456
2023,NM,New Mexico,13.85,0.07225433526012459
2024,NM,New Mexico,14.2,2.5270758122743597
2025,NM,New Mexico,15.08,6.197183098591563
2010,NV,Nevada,12.36,
2011,NV,Nevada,11.61,-6.0679611650485406
2012,NV,Nevada,11.83,1.8949181739879473
2013,NV,Nevada,11.89,0.5071851225697532
2014,NV,Nevada,12.93,8.746846089150528
2015,NV,Nevada,12.76,-1.314771848414542
2016,NV,Nevada,11.41,-10.579937304075237
2017,NV,Nevada,11.99,5.083260297984227
2018,NV,Nevada,11.85,-1.1676396997498006
2019,NV,Nevada,12.0,1.2658227848101333
2020,NV,Nevada,11.34,-5.500000000000005
2021,NV,Nevada,11.49,1.3227513227513255
2022,NV,Nevada,13.78,19.930374238468218
2023,NV,Nevada,16.67,20.972423802612504
2024,NV,Nevada,15.0,-10.017996400719865
2025,NV,Nevada,13.15,-12.333333333333329
2010,NY,New York,18.74,
2011,NY,New York,18.26,-2.5613660618996614
2012,NY,New York,17.62,-3.5049288061336337
2013,NY,New York,18.79,6.640181611804752
2014,NY,New York,20.07,6.812134113890367
2015,NY,New York,18.54,-7.623318385650235
2016,NY,New York,17.58,-5.177993527508096
2017,NY,New York,18.03,2.559726962457365
2018,NY,New York,18.52,2.717692734331667
2019,NY,New York,17.94,-3.131749460043187
2020,NY,New York,18.36,2.341137123745818
2021,NY,New York,19.48,6.100217864923763
2022,NY,New York,22.08,13.347022587268986
2023,NY,New York,22.24,0.7246376811594235
2024,NY,New York,24.43,9.847122302158272
2025,NY,New York,26.39,8.022922636103157
2010,OH,Ohio,11.31,
2011,OH,Ohio,11.42,0.9725906277630259
2012,OH,Ohio,11.76,2.977232924693518
2013,OH,Ohio,12.01,2.1258503401360596
2014,OH,Ohio,12.5,4.079933388842627
2015,OH,Ohio,12.8,2.400000000000002
2016,OH,Ohio,12.47,-2.578124999999998
2017,OH,Ohio,12.63,1.2830793905372895
2018,OH,Ohio,12.56,-0.5542359461599422
2019,OH,Ohio,12.38,-1.4331210191082744
2020,OH,Ohio,12.29,-0.7269789983845087
2021,OH,Ohio,12.77,3.9056143205858485
2022,OH,Ohio,13.85,8.457321848081435
2023,OH,Ohio,15.38,11.046931407942239
2024,OH,Ohio,15.99,3.966189856957092
2025,OH,Ohio,16.96,6.066291432145099
2010,OK,Oklahoma,9.14,
2011,OK,Oklahoma,9.47,3.610503282275701
2012,OK,Oklahoma,9.51,0.42238648363250864
2013,OK,Oklahoma,9.67,1.682439537329139
2014,OK,Oklahoma,10.03,3.7228541882109667
2015,OK,Oklahoma,10.14,1.0967098703888567
2016,OK,Oklahoma,10.2,0.5917159763313418
2017,OK,Oklahoma,10.61,4.019607843137263
2018,OK,Oklahoma,10.3,-2.9217719132893394
2019,OK,Oklahoma,10.21,-0.8737864077669855
2020,OK,Oklahoma,10.12,-0.8814887365328317
2021,OK,Oklahoma,11.0,8.69565217391306
2022,OK,Oklahoma,12.44,13.090909090909086
2023,OK,Oklahoma,12.08,-2.893890675241151
2024,OK,Oklahoma,12.24,1.324503311258285
2025,OK,Oklahoma,13.12,7.189542483660127
